mcts_task_by_completion_reward_gradient,5,2,100,41.2626,1967.04
mcts_task_by_completion_reward_gradient,5,2,100,43.5923,2123.45
mcts_task_by_completion_reward_gradient,5,2,100,50.9907,2272.46
mcts_task_by_completion_reward_gradient,5,2,100,52.5929,2419.86
mcts_task_by_completion_reward_gradient,5,2,100,57.0238,2562.84
mcts_task_by_completion_reward_gradient,5,2,100,60.2637,2702.58
mcts_task_by_completion_reward_gradient,5,2,100,77.2631,2825.31
mcts_task_by_completion_reward_gradient,5,2,100,87.994,2937.32
mcts_task_by_completion_reward_gradient,5,2,100,93.1928,3044.13
mcts_task_by_completion_reward_gradient,5,2,100,99.6231,3144.5
mcts_task_by_completion_reward_gradient,5,2,100,106.593,3237.91
mcts_task_by_completion_reward_gradient,5,2,100,111.423,3326.49
mcts_task_by_completion_reward_gradient,5,2,100,114.193,3412.29
mcts_task_by_completion_reward_gradient,5,2,100,128.623,3483.67
mcts_task_by_completion_reward_gradient,5,2,100,133.591,3550.08
mcts_task_by_completion_reward_gradient,5,2,100,143.193,3606.89
mcts_task_by_completion_reward_gradient,5,2,100,153.794,3653.09
mcts_task_by_completion_reward_gradient,1,2,100,4.47646,195.524
mcts_task_by_completion_reward_gradient,1,2,100,4.79664,390.727
mcts_task_by_completion_reward_gradient,1,2,100,7.19599,583.531
mcts_task_by_completion_reward_gradient,1,2,100,8.07453,775.456
mcts_task_by_completion_reward_gradient,1,2,100,12.2741,963.182
mcts_task_by_completion_reward_gradient,1,2,100,15.3948,1147.79
mcts_task_by_completion_reward_gradient,1,2,100,20.4763,1327.31
mcts_task_by_completion_reward_gradient,1,2,100,24.1964,1503.11
mcts_task_by_completion_reward_gradient,1,2,100,33.795,1669.32
mcts_task_by_completion_reward_gradient,1,2,100,39.2471,1830.07
mcts_task_by_completion_reward_gradient,1,2,100,41.1962,1988.88
mcts_task_by_completion_reward_gradient,1,2,100,51.796,2137.08
mcts_task_by_completion_reward_gradient,1,2,100,55.1963,2281.88
mcts_task_by_completion_reward_gradient,1,2,100,71.4754,2410.41
mcts_task_by_completion_reward_gradient,1,2,100,78.9966,2531.41
mcts_task_by_completion_reward_gradient,1,2,100,81.3968,2650.02
mcts_task_by_completion_reward_gradient,1,2,100,86.6465,2763.37
mcts_task_by_completion_reward_gradient,1,2,100,104.994,2858.37
mcts_task_by_completion_reward_gradient,1,2,100,116.647,2941.73
mcts_task_by_completion_reward_gradient,1,2,100,134.677,3007.05
mcts_task_by_completion_reward_gradient,1,2,100,170.845,3036.21
mcts_task_by_completion_reward_gradient,2,2,100,10.1955,189.805
mcts_task_by_completion_reward_gradient,2,2,100,11.5965,378.208
mcts_task_by_completion_reward_gradient,2,2,100,13.8168,564.391
mcts_task_by_completion_reward_gradient,2,2,100,16.5957,747.795
mcts_task_by_completion_reward_gradient,2,2,100,19.6581,928.137
mcts_task_by_completion_reward_gradient,2,2,100,20.4169,1107.72
mcts_task_by_completion_reward_gradient,2,2,100,21.7973,1285.92
mcts_task_by_completion_reward_gradient,2,2,100,23.0552,1462.87
mcts_task_by_completion_reward_gradient,2,2,100,28.1945,1634.67
mcts_task_by_completion_reward_gradient,2,2,100,29.8176,1804.86
mcts_task_by_completion_reward_gradient,2,2,100,34.8148,1970.04
mcts_task_by_completion_reward_gradient,2,2,100,37.0566,2132.98
mcts_task_by_completion_reward_gradient,2,2,100,45.4167,2287.57
mcts_task_by_completion_reward_gradient,2,2,100,50.7971,2436.77
mcts_task_by_completion_reward_gradient,2,2,100,54.9972,2581.77
mcts_task_by_completion_reward_gradient,2,2,100,59.7947,2721.98
mcts_task_by_completion_reward_gradient,2,2,100,62.8159,2859.16
